order_id,customer_id,amount,region,order_date
1001,201,1250.50,North America,2024-01-15
1002,202,875.25,Europe,2024-01-16
1003,203,2100.00,Asia Pacific,2024-01-17
1004,204,650.75,North America,2024-01-18
1005,205,1875.00,Europe,2024-01-19
1006,206,925.50,Asia Pacific,2024-01-20
1007,207,1450.25,North America,2024-01-21
1008,208,775.00,Europe,2024-01-22
1009,209,2250.75,Asia Pacific,2024-01-23
1010,210,1125.25,North America,2024-01-24
1011,201,950.00,North America,2024-01-25
1012,202,1675.50,Europe,2024-01-26
1013,203,825.75,Asia Pacific,2024-01-27
1014,204,1950.25,North America,2024-01-28
1015,205,1200.00,Europe,2024-01-29
1016,206,875.50,Asia Pacific,2024-01-30
1017,207,1525.75,North America,2024-01-31
1018,208,2075.25,Europe,2024-02-01
1019,209,675.00,Asia Pacific,2024-02-02
1020,210,1825.50,North America,2024-02-03
